User,Time,Working Directory,Command,Duration
10.103.130.144,2022-04-15 22:35:38,/home/ubuntu/volatility,"grep -a ""Linux version"" memory.dmp",0:00:11
10.103.130.144,2022-04-15 22:37:08,/home/ubuntu/volatility,GUACAMOLE,0:01:30
10.103.130.144,2022-04-15 22:37:12,/home/ubuntu/volatility,"grep -a ""Linux version"" memory.dmp",0:00:04
10.103.130.144,2022-04-15 22:38:34,/home/ubuntu/volatility,GUACAMOLE,0:01:22
10.103.130.144,2022-04-15 22:38:43,/home/ubuntu/volatility,"grep -a ""Linux release"" memory.dmp",0:00:09
10.103.130.144,2022-04-15 22:39:53,/home/ubuntu/volatility,"grep -a ""BOOT_IMAGE"" memory.dmp",0:01:10
10.103.130.144,2022-04-15 22:40:02,/home/ubuntu/volatility,"grep -a ""Linux version"" memory.dmp",0:00:09
10.103.130.144,2022-04-15 22:40:13,/home/ubuntu/volatility,"grep -a ""Linux release"" memory.dmp",0:00:11
10.103.130.144,2022-04-15 22:40:19,/home/ubuntu/volatility,ls,0:00:06
10.103.130.144,2022-04-15 22:41:59,/home/ubuntu/volatility/tools,cd \tools,0:01:40
10.103.130.144,2022-04-15 22:42:01,/home/ubuntu/volatility/tools,ls,0:00:02
10.103.130.144,2022-04-15 22:42:07,/home/ubuntu/volatility/tools/linux,cd \linux,0:00:06
10.103.130.144,2022-04-15 22:42:38,/home/ubuntu/volatility/tools/linux,make,0:00:31
10.103.130.144,2022-04-15 22:43:02,/home/ubuntu/volatility/tools/linux,sudo apt install make,0:00:24
10.103.130.144,2022-04-15 22:44:58,/home/ubuntu/volatility/tools/linux,,0:01:56
10.103.130.144,2022-04-15 22:45:05,/home/ubuntu/volatility/tools/linux,,0:00:07
10.103.130.144,2022-04-15 22:45:08,/home/ubuntu/volatility/tools/linux,make,0:00:03
10.103.130.144,2022-04-15 22:45:17,/home/ubuntu/volatility/tools/linux,make,0:00:09
10.103.130.144,2022-04-15 22:45:24,/home/ubuntu/volatility/tools/linux,sudo make,0:00:07
10.103.130.144,2022-04-15 22:46:44,/home/ubuntu/volatility/tools/linux,kernel-devel,0:01:20
10.103.130.144,2022-04-15 22:46:56,/home/ubuntu/volatility/tools/linux,kernel,0:00:12
10.103.130.144,2022-04-15 22:47:05,/home/ubuntu/volatility/tools/linux,gcc,0:00:09
10.103.130.144,2022-04-15 22:47:56,/home/ubuntu/volatility/tools/linux,sudo apt install gcc,0:00:51
10.103.130.144,2022-04-15 22:47:59,/home/ubuntu/volatility/tools/linux,libdwarf-tools,0:00:03
10.103.130.144,2022-04-15 22:48:05,/home/ubuntu/volatility/tools/linux,libdwarf,0:00:06
10.103.130.144,2022-04-15 22:48:43,/home/ubuntu/volatility/tools/linux,yum install kernel-devel,0:00:38
10.103.130.144,2022-04-15 22:49:05,/home/ubuntu/volatility/tools/linux,sudo apt install yum,0:00:22
10.103.130.144,2022-04-15 22:49:08,/home/ubuntu/volatility/tools/linux,yum install kernel-devel,0:00:03
10.103.130.144,2022-04-15 22:49:17,/home/ubuntu/volatility/tools/linux,sudo yum install kernel-devel,0:00:09
10.103.130.144,2022-04-15 22:50:09,/home/ubuntu/volatility/tools/linux,make,0:00:52
10.103.130.144,2022-04-15 22:50:42,/home/ubuntu/volatility/tools/linux,volatility --info | grep Linux,0:00:33
10.103.130.144,2022-04-15 22:51:06,/home/ubuntu,cd,0:00:24
10.103.130.144,2022-04-15 22:51:15,/home/ubuntu/volatility,cd \volatility,0:00:09
10.103.130.144,2022-04-15 22:51:16,/home/ubuntu/volatility,ls,0:00:01
10.103.130.144,2022-04-15 22:52:31,/home/ubuntu/volatility,cd \plugins,0:01:15
10.103.130.144,2022-04-15 22:52:46,/home/ubuntu/volatility/tools,cd tools,0:00:15
10.103.130.144,2022-04-15 22:52:49,/home/ubuntu/volatility/tools,ls,0:00:03
10.103.130.144,2022-04-15 22:52:57,/home/ubuntu/volatility/tools/linux,cd \linux,0:00:08
10.103.130.144,2022-04-15 22:52:58,/home/ubuntu/volatility/tools/linux,ls,0:00:01
10.103.130.144,2022-04-15 22:53:12,/home/ubuntu/volatility/tools/linux,volatility --info | grep Linux,0:00:14
10.103.130.144,2022-04-15 22:53:51,/home/ubuntu/volatility/tools/linux,volatility -f ~\volatility\memory.dmp --profile=LinuxCentOS-7_7_1908-3_10_0-1062x64 linux_bash,0:00:39
10.103.130.144,2022-04-15 22:54:31,/home/ubuntu/volatility/tools/linux,python ~\volatility\vol.py -f ~\volatility\memory.dmp --profile=LinuxCentOS-7_7_1908-3_10_0-1062x64 linux_bash,0:00:40
10.103.130.144,2022-04-15 22:54:48,/home/ubuntu/volatility/tools/linux,python \volatility\vol.py -f \volatility\memory.dmp --profile=LinuxCentOS-7_7_1908-3_10_0-1062x64 linux_bash,0:00:17
10.103.130.144,2022-04-15 22:55:10,/home/ubuntu/volatility/tools/linux,python \volatility/vol.py -f \volatility/memory.dmp --profile=LinuxCentOS-7_7_1908-3_10_0-1062x64 linux_bash,0:00:22
10.103.130.144,2022-04-15 22:55:36,/home/ubuntu/volatility/tools/linux,python vol.py -f memory.dmp --profile=LinuxCentOS-7_7_1908-3_10_0-1062x64 linux_bash,0:00:26
10.103.130.144,2022-04-15 22:55:58,/home/ubuntu,cd,0:00:22
10.103.130.144,2022-04-15 22:56:00,/home/ubuntu,ls,0:00:02
10.103.130.144,2022-04-15 22:56:10,/home/ubuntu,cd \,0:00:10
10.103.130.144,2022-04-15 22:56:19,/home/ubuntu/volatility,cd \volatility,0:00:09
10.103.130.144,2022-04-15 22:56:23,/home/ubuntu/volatility,ls,0:00:04
10.103.130.144,2022-04-15 22:57:34,/home/ubuntu/volatility,python vol.py -f memory.dmp --profile=LinuxCentOS-7_7_1908-3_10_0-1062x64 linux_bash,0:01:11
10.103.130.144,2022-04-15 22:58:09,/home/ubuntu/volatility,python vol.py -f memory.dmp --profile=LinuxCentOS-7_7_1908-3_10_0-1062x64 linux_bash,0:00:35
10.103.130.144,2022-04-15 22:58:26,/home/ubuntu/volatility,python vol.py -f memory.dmp --profile=LinuxCentOS-4.15.0-112-generic linux_bash,0:00:17
10.103.130.144,2022-04-15 22:58:41,/home/ubuntu/volatility,python vol.py -f memory.dmp --profile=LinuxCentOS-4.15.0-112 linux_bash,0:00:15
10.103.130.144,2022-04-15 23:11:22,/home/ubuntu/volatility,python vol.py -f memory.dmp imageinfo,0:12:41
10.103.130.144,2022-04-15 23:11:24,/home/ubuntu/volatility,ls,0:00:02
10.103.130.144,2022-04-15 23:12:09,/home/ubuntu/volatility,rm memory.dmp,0:00:45
10.103.130.144,2022-04-15 23:12:12,/home/ubuntu/volatility,ls,0:00:03
10.103.130.144,2022-04-15 23:12:15,/home/ubuntu,cd,0:00:03
10.103.130.144,2022-04-15 23:12:17,/home/ubuntu,ls,0:00:02
10.103.130.144,2022-04-15 23:12:52,/home/ubuntu,unzip memory.zip,0:00:35
10.103.130.144,2022-04-15 23:13:21,/home/ubuntu,sudo mv memory.dmp \volatility,0:00:29
10.103.130.144,2022-04-15 23:13:24,/home/ubuntu,ls,0:00:03
10.103.130.144,2022-04-15 23:13:32,/home/ubuntu,rm vol,0:00:08
10.103.130.144,2022-04-15 23:13:41,/home/ubuntu,ls  volatility,0:00:09
10.103.130.144,2022-04-15 23:14:00,/home/ubuntu/volatility,cd \volatility,0:00:19
10.103.130.144,2022-04-15 23:14:02,/home/ubuntu/volatility,ls,0:00:02
10.103.130.144,2022-04-15 23:21:00,/home/ubuntu/volatility,python vol.py -f memory.dmp imageinfo,0:06:58
10.103.130.144,2022-04-15 23:22:06,/home/ubuntu/volatility,"grep -a ""BOOT_IMAGE"" memory.dmp",0:01:06
10.103.130.144,2022-04-15 23:22:23,/home/ubuntu/volatility,"grep -a ""BOOT_IMAGE"" memory.dmp",0:00:17
10.103.130.144,2022-04-15 23:23:56,/home/ubuntu/volatility,"grep -a ""Profile"" memory.dmp",0:01:33
